TCGA_barcode_TPM,ENSG00000198712,ENSG00000198938,ENSG00000198804,ENSG00000198899,ENSG00000198886,ENSG00000228253,ENSG00000198763,ENSG00000210082,ENSG00000263900,ENSG00000198840
TCGA-AA-3502-01A-01R-1410-07,9227.551758,9146.616211,9354.935547,7047.557129,5665.812012,5541.805176,3797.038818,4289.257812,4263.001953,4901.661621
TCGA-AA-3852-01A-01R-0905-07,12200.13965,16272.39551,11631.25781,9538.279297,8098.825684,6477.913086,4538.040039,5036.816406,6785.067383,5381.177246
TCGA-A6-A566-01A-11R-A28H-07,23352.0293,29199.26172,7633.5625,22525.49414,20052.44531,18030.58984,11549.89941,4802.294922,8014.063965,3933.364258
TCGA-A6-5661-01A-01R-1653-07,8639.186523,9637.90625,8085.73291,6088.740723,6141.947754,6059.425781,4424.40918,1810.142212,5203.023438,2957.472168
TCGA-AD-6901-01A-11R-1928-07,7745.852539,7660.230469,8073.978027,7838.62207,4942.374023,5592.11377,2645.040527,5770.109863,6958.893555,1681.25293
TCGA-WS-AB45-01A-11R-A41B-07,10172.45801,9075.370117,9974.963867,11166.85449,8290.31543,9497.058594,6577.598633,2337.900635,8558.90625,2869.531006
TCGA-AD-6965-01A-11R-1928-07,3864.941406,3978.265381,3701.536377,2402.622803,1960.113403,1957.244751,1246.269653,1790.362061,5851.994629,1644.719849
TCGA-AA-3939-01A-01R-1022-07,8705.351562,13656.46484,7145.810059,6886.096191,4835.794922,5041.375977,3878.763428,7912.643066,5448.939453,3184.994141
TCGA-AZ-6605-01A-11R-1839-07,17751.06445,13410.97754,15472.53418,15435.79199,11546.97461,14001.62109,8061.080078,5907.80957,4589.016113,8539.337891
TCGA-D5-6928-01A-11R-1928-07,2013.782349,1913.390015,3071.333496,2289.119141,1883.142334,1774.246094,1518.501587,1028.232788,3882.945557,872.029907
TCGA-CM-4747-01A-01R-1410-07,19999.53906,20290.2793,15147.20313,23467.625,17084.43164,20041.14648,16580.17188,4772.557129,5261.440918,14819.68457
TCGA-AA-3821-01A-01R-1022-07,17291.86523,21394.08789,21474.84766,15772.69043,16707.36133,9195.992188,7229.638672,3837.279297,4222.540039,6980.313965
TCGA-AA-3492-01A-01R-1410-07,4667.710938,3437.950195,3868.374756,3517.441162,1644.846558,2950.827393,1540.429565,1377.016235,5444.257812,1550.525513
TCGA-AA-3542-01A-02R-1873-07,6349.872559,5595.605469,4869.003418,4483.338867,3533.692627,1044.062622,1885.054443,2371.293457,4273.59668,3433.507812
TCGA-AD-A5EJ-01A-11R-A28H-07,21546.83789,20411.40234,21931.47656,21141.42188,20575.66992,17653.4375,12979.09766,2763.828125,4924.219238,6547.693848
