TCGA_barcode_TPM,ENSG00000163631,ENSG00000158874,ENSG00000198804,ENSG00000198938,ENSG00000198712,ENSG00000198899,ENSG00000087086,ENSG00000198886,ENSG00000197249,ENSG00000228253
TCGA-UB-A7MC-01A-11R-A33R-07,16808.88672,11450.96191,8450.750977,8607.080078,10263.89941,9728.006836,22211.70117,10708.39453,5056.850098,7646.290527
TCGA-DD-AAW0-01A-11R-A41C-07,50615.09375,53900.08594,19879.9082,11843.76074,9022.350586,10704.9668,14768.18164,10805.03027,14004.88867,9542.422852
TCGA-5C-A9VG-01A-11R-A37K-07,20549.81445,20841.57813,15549.71387,18576.53711,16609.98633,15929.74707,14723.77051,12353.9668,5157.849121,11155.23145
TCGA-DD-A3A8-01A-11R-A22L-07,99964.42969,41171.28516,17249.75781,17380.67969,17141.14648,21701.25781,6126.578613,22015.72852,10452.5957,12336.38379
TCGA-DD-AADR-01A-11R-A41C-07,25110.89453,39201.26563,32866.27344,34582.01953,22548.11914,19538.95898,28440.19531,14711.59375,9146.693359,14146.45996
TCGA-BD-A2L6-01A-11R-A213-07,42161.33203,26444.14258,24832.02539,25587.99414,22595.00391,16835.16992,7075.742676,15542.71387,12140.43164,7551.100586
TCGA-2Y-A9GZ-01A-11R-A39D-07,46003.78516,6738.693848,27661.87305,16419.49805,22831.12695,13818.35938,5936.391602,15026.53711,9941.074219,10959.23633
TCGA-DD-AACD-01A-11R-A41C-07,16286.91211,20425.13867,16862.68945,20989.49219,30915.90039,10828.69531,7157.089355,6896.231445,21861.38086,1409.911255
TCGA-UB-A7MF-01A-11R-A33J-07,103836.2813,16783.69727,12145.47461,12722.54004,10631.41992,10654.10449,8270.494141,7319.588379,8789.267578,5609.509766
TCGA-2Y-A9H1-01A-11R-A38B-07,111179.5938,40946.25391,6194.807617,9796.072266,10088.77441,8293.477539,21926.03516,4677.588867,11454.65039,749.142883
TCGA-CC-A3M9-01A-11R-A213-07,14.753417,8.503315,7718.117188,6616.416504,7702.669434,6539.953613,14088.3457,6617.826172,239.328033,3668.672852
TCGA-KR-A7K2-01A-12R-A33R-07,85806.45313,59293.55078,25665.53906,28641.60547,17237.60938,18130.29883,11687.91309,10954.65918,10534.03125,8567.380859
TCGA-DD-A39Z-01A-11R-A213-07,60058.36328,62132.73047,11565.78418,11914.72559,19504.6543,8684.581055,9197.106445,7188.236816,51245.65234,2158.81958
TCGA-DD-A1EF-01A-11R-A131-07,57923.93359,17942.57227,17645.74805,11708.87988,11079.31836,15852.23633,22309.13672,14868.51563,9805.999023,11227.73438
TCGA-BW-A5NQ-01A-11R-A27V-07,16791.96484,44426.64063,9458.660156,15780.13184,13694.97168,12542.32227,30812.25391,5686.219727,12284.96387,7560.035645
TCGA-DD-A39V-01A-11R-A213-07,8480.704102,49809.45703,3726.57373,3726.189697,6117.223145,4422.961914,60831.39844,2208.699951,9642.383789,483.004669
TCGA-BD-A3EP-01A-11R-A22L-07,11845.0459,19846.88672,17917.66602,14050.9707,14565.9043,9026.577148,28736.7793,10639.74805,33431.94531,6297.72998
TCGA-2Y-A9H6-01A-11R-A39D-07,43539.40234,31273.48242,31650.15039,22959.25781,15256.32813,14208.16113,8730.21582,17017.76758,22073.11523,8786.664062
TCGA-G3-A5SM-01A-12R-A28V-07,50786.24609,28655.80859,26097.51953,19629.83008,18836.44336,17903.17773,30069.39063,15259.28125,13638.88184,14215.61621
TCGA-WQ-AB4B-01A-11R-A41C-07,37788.78906,29612.78711,25596.58594,25063.43945,18332.73047,20413.04297,21000.12109,12610.94531,11750.56055,4152.097656
TCGA-WQ-A9G7-01A-11R-A37K-07,27013.14648,44876.07031,30346.1582,28915.33984,35391.14453,25877.61133,20076.61719,21565.87695,7268.043457,15248.18066
TCGA-FV-A3I1-01A-11R-A22L-07,49802.6875,20570.7793,8914.484375,5654.310547,4948.637695,7295.806152,29418.875,6575.304688,19460.51172,5258.330566
TCGA-BC-A10S-01A-22R-A131-07,63390.71875,21477.60742,6096.98877,16344.59473,16701.40234,21698.63672,14158.18164,9149.908203,24702.89648,8910.263672
TCGA-ZP-A9D2-01A-11R-A38B-07,33684.8125,13153.27051,13682.4043,9125.235352,6894.159668,6889.105957,10617.93945,6704.056641,5806.881348,5555.937012
TCGA-DD-AACA-02A-11R-A41C-07,64518.45703,23061.17773,20143.55664,14730.46094,18045.43555,11508.76856,16524.54688,16267.48535,5978.290039,11059.31055
TCGA-DD-AACA-02B-11R-A41C-07,57377.16406,43261.76563,12413.78906,14012.44043,19172.12109,9664.103516,31202.97656,8162.005371,8729.421875,4585.733887
TCGA-5R-AA1C-01A-11R-A41C-07,13632.17188,15769.75098,14443.42285,13086.9707,11948.02832,7254.933105,21628.96094,8443.429688,5247.626465,5977.069336
TCGA-G3-AAV2-01A-11R-A37K-07,39442.10938,34773.72266,15515.52832,14982.53809,13084.21777,14832.91113,10663.08496,8523.545898,10880.7666,7898.790039
TCGA-XR-A8TG-01A-11R-A36F-07,47163.65234,9771.644531,18588.54297,10677.59766,12135.91309,13853.46777,5938.505371,10835.19824,17052.90039,10603.85547
TCGA-DD-AACC-01A-11R-A41C-07,45874.55078,52115.73438,8599.510742,9524.77832,8557.451172,8438.541992,20287.99414,5858.115723,39586.10938,3460.275879
TCGA-DD-AAE4-01A-11R-A41C-07,96223.32813,23394.88281,6668.924316,16687.67773,18847.5332,11321.05469,5299.256836,6422.60498,17619.33398,1262.824707
TCGA-CC-A8HU-01A-11R-A36F-07,67826.35156,34979.51563,13354.84863,13469.06641,8414.489258,9424.017578,12244.10059,9856.922852,3913.090332,5557.958496
TCGA-GJ-A3OU-01A-31R-A38B-07,25183.19336,39985.67969,11448.95703,15782.67481,15926.28027,13549.79395,34332.94531,11036.64746,7371.316895,8661.302734
TCGA-ED-A7XP-01A-11R-A352-07,19043.90625,51135.11719,13748.68848,13346.45898,13607.74414,11249.44141,28120.2168,15269.80469,6038.387207,9560.469727
TCGA-BC-A112-01A-11R-A131-07,27348.0918,10.227702,17167.69922,25986.97266,12324.67578,22245.95898,26835.96875,15520.09668,15005.21973,18818.85742
TCGA-BC-A5W4-01A-11R-A28V-07,66070.88281,71631.14844,22138.99414,17940.89453,10563.19531,9344.460938,8602.214844,8645.524414,15247.21777,4342.077637
TCGA-ZP-A9CZ-01A-11R-A38B-07,115955.3281,32822.85156,13081.30664,10148.62988,8875.192383,9987.040039,12119.9668,7051.521484,15012.97949,6684.805664
TCGA-XR-A8TE-01A-11R-A36F-07,36413.17969,24160.53906,15441.77832,14805.9834,9023.613281,11400.68066,19894.29492,13026.48633,30384.68555,9123.666016
TCGA-DD-A4NB-01A-12R-A266-07,8560.475586,2065.909424,50498.09766,35611.14453,29543.39844,29819.08203,10136.9375,29898.92188,10197.68555,22417.23047
